YEARWEEK,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York City,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
201549,2.76306,0.596421,2.31562,1.32599,2.07101,0.838355,1.7386,0.148331,6.5342,0.915345,1.29957,1.8315,0.43956,2.16111,1.42664,0.114112,1.28025,0.535988,2.03417,0.960171,1.91238,0.811212,0.731161,1.80049,3.09749,1.16959,0.1321,0.833066,0.96706,0.464084,1.06728,1.7464,1.51335,2.2349,1.53713,0,0.904533,2.80758,0.831409,1.95162,4.92456,0.178629,0.713063,1.22345,1.47238,4.49576,1.41706,0.828984,1.01781,2.22075,0.497696,1.27957,1.25945,0.714905
201550,3.1391,0.226244,2.41173,1.29193,2.17017,0.508187,1.97822,0.144265,6.71418,0.848515,2.13077,2.04221,0.958702,2.16723,1.85714,0.370542,1.34895,0.612963,2.20889,0.898204,2.28471,0.791949,0.905253,1.54377,3.18088,1.75389,0.140895,0.545455,1.04183,0.400168,1.09957,1.86997,1.25511,2.35569,1.78543,0.752823,0.722748,2.10428,1.09102,2.21809,4.65538,0.210933,0.621302,1.36701,1.2089,4.67202,1.80879,1.29916,1.24378,2.36551,0.391349,1.78188,1.6161,0.665281
201551,3.28583,0.422535,3.08603,1.57804,2.91333,0.786943,2.39398,0,9.51359,1.22294,2.6336,1.5873,0.441393,2.6622,2.1843,0.73193,1.34755,0.639235,2.66484,0.902171,3.08793,1.31384,0.905545,2.84483,3.73491,2.03742,0.239693,0.459982,1.2116,0.416934,1.17736,2.10199,2.14651,2.72745,2.76382,1.07198,0.975264,3.46522,0.936037,2.73918,4.9306,0.200334,0.515668,1.75747,1.22811,5.12797,2.12355,1.38272,1.3245,2.80804,0.583745,1.52858,1.89283,0.425791
201552,2.88941,0.356718,2.59408,1.34382,3.27722,1.41364,2.95939,0.202634,8.20996,1.32136,1.97743,2.1164,0.839944,2.55183,2.54879,1.30548,1.56353,0.590034,2.47861,1.62022,3.59815,1.24224,0.94131,1.93642,3.25682,2.02099,0.27946,0.421151,1.43746,0.509404,1.40393,1.99108,1.97842,2.91514,2.62926,1.07383,0.925092,3.75139,0.932306,3.01098,4.91172,0.383543,0.649351,1.4567,1.15248,5.70737,2.30778,1.93258,1.57767,2.67095,0.747384,1.65355,1.79739,0.897868
201601,2.77095,0.591716,2.77037,1.24318,2.5018,1.148,2.65283,0.266351,9.30537,0.998582,1.56396,1.22735,1.48072,2.44474,1.45969,0.824317,1.59266,0.652522,2.26002,0.862745,2.27929,1.03824,0.953501,0.556836,2.65897,1.91673,0.123495,0.529412,1.18955,0.368409,1.54976,1.60428,1.15723,2.38171,1.56604,0.20141,0.833012,2.32655,1.2949,2.43179,4.34474,0.352113,0.683018,1.50217,1.23172,4.68602,1.57693,1.50082,1.57767,2.32881,0.554201,1.24065,1.74376,0.805195
201602,2.79062,0.332963,2.78806,1.63324,2.47039,0.941567,2.82404,0.214988,6.23525,1.13367,1.53293,1.75439,1.28824,2.79141,0.945587,0.587438,1.20081,0.639714,2.44385,0.872151,3.07626,1.09204,0.687134,0.58096,2.4243,1.59607,0.0592944,0.527395,0.909577,0.480077,1.343,1.85863,2.56989,2.23068,1.72929,0.906736,0.893183,2.78759,1.6622,2.15585,4.28726,0.468933,0.720721,1.5884,1.81601,4.16846,2.10701,1.35501,1.65605,2.22837,0.797147,1.21729,1.47809,0.700389
201603,3.24173,0.4329,3.02494,1.72027,2.68971,1.00711,2.8912,0.0820008,4.66491,1.66951,1.71299,2.45362,1.2318,2.56198,1.44479,0.288323,1.20733,0.434208,2.4867,0.951315,2.80927,1.25813,0.898847,0.676788,2.8172,1.82839,0.129534,0.328554,1.23082,0.408163,1.58053,2.35777,1.90067,2.26008,1.85998,0.231214,0.734548,3.67476,2.13383,2.27801,5.11642,0.554855,0.791053,1.84008,1.87742,4.36048,2.14924,1.52561,1.69903,2.18843,1.0872,1.32488,1.98363,0.806452
201604,3.15247,0.718686,3.40586,2.21743,2.83328,0.835921,3.29925,0.10101,5.86047,2.39169,1.83451,3.19211,1.71334,2.75204,1.56227,0.549218,1.45168,0.514626,2.34685,0.886557,2.33088,1.43077,0.842919,0.762547,3.15879,1.60151,0.246548,0.406858,1.19691,0.45045,1.85906,2.39875,1.6013,2.43412,1.52851,0.343249,0.841751,3.51783,2.12389,2.4708,7.33333,0.631735,0.654387,1.59929,1.3291,4.96129,2.69415,1.80208,1.25,1.93452,1.01818,1.47666,1.34354,0.703675
201605,3.24061,0.601323,3.97859,2.07073,3.28407,1.16318,3.19507,0.186625,5.19972,2.5007,1.81663,2.35911,2.32394,3.04572,1.20893,0.528053,1.67744,0.708629,2.51039,1.15839,1.34237,1.61123,1.01783,1.00438,2.87259,1.37948,0.224027,0.437158,1.38714,0.588713,1.69208,2.6483,1.7329,2.59917,1.6268,1.07738,0.874179,3.41487,2.22763,2.45783,8.57451,1.11997,1.14037,2.06847,1.7164,4.89241,2.83149,1.06446,2.7127,1.74534,1.28357,1.13276,1.62109,1.11516
201606,3.12853,1.19976,5.18344,2.53538,3.91439,1.27733,4.15838,0.0978793,5.65627,2.74862,1.83585,4.0253,1.38484,3.32896,1.50665,0.564744,1.6462,1.00349,2.62713,0.899844,2.60127,1.49574,1.37645,1.11789,3.51508,2.1764,0.336962,0.704424,1.80372,0.626305,2.60692,3.72,2.71642,3.00798,2.16115,1.27796,1.09736,4.41915,1.90729,2.37481,8.05906,0.952025,1.52526,2.9212,1.63431,5.62804,3.18894,1.7097,2.10918,1.9085,1.78059,1.81735,1.74373,1.60428
201607,3.89068,1.698,5.17415,2.69906,4.39619,1.50134,3.70722,0.0641643,5.99214,3.27059,2.34201,4.25139,2.25225,3.87532,2.05432,1.1657,2.34536,1.48209,2.89193,0.920887,4.37746,1.57182,1.7294,2.73241,3.54654,2.2293,0.349548,0.699097,2.24189,0.655165,3.01218,4.09926,1.76664,3.26483,3.12333,1.57195,1.44145,3.59483,2.81959,2.02913,6.56689,1.36986,1.99443,2.56379,3.11609,6.36256,4.09285,2.73022,1.87735,2.32802,2.35294,1.74266,2.16718,1.67118
201608,4.39855,1.99413,5.38213,3.17365,3.73143,1.58921,3.7826,0.658307,7.911,3.23381,2.60638,5.57043,1.46189,3.88773,2.7492,1.35017,2.40447,2.34549,3.20624,0.883864,3.16991,1.57617,2.39001,2.65649,4.57577,2.0909,0.247321,1.00546,2.34118,0.753212,2.58117,4.16112,2.83297,3.18542,4.19302,1.02564,1.67182,3.86364,2.48518,2.91049,6.60361,1.46733,2.38253,2.42168,3.338,4.48169,4.24214,1.53653,0.754717,2.69247,2.10858,2.69257,2.55664,1.66878
201609,5.47097,1.92744,5.02006,4.87194,3.63724,1.67642,3.4711,1.03028,9.23582,2.87592,2.84092,6.0241,1.79856,4.17069,3.48604,1.6221,2.94245,2.1133,3.70534,0.903274,3.00395,1.75215,2.6582,3.09101,4.8877,2.83647,0.60347,1.48835,2.76263,0.783828,3.76333,5.04657,3.41463,3.45799,3.99742,0.890208,1.65649,3.16993,2.66258,3.32486,5.72438,1.36803,2.36412,2.11684,3.33087,4.7195,3.4478,2.19161,1.08578,3.34539,1.66157,2.71718,2.98078,1.96032
201610,6.55058,3.40426,4.14432,5.62608,3.69442,1.67542,3.61106,1.73697,9.33902,3.06909,3.45765,7.61169,2.03507,3.9101,4.73192,1.23092,3.26718,2.67058,3.63969,1.1257,3.03093,2.58081,2.73456,4.07295,5.35687,3.06748,0.35229,1.60966,2.5523,1.2543,4.47187,4.39492,3.41609,3.88275,3.83595,1.64127,2.44448,4.42237,3.46895,4.46836,6.58011,2.06706,2.76159,2.49142,3.62272,4.01485,3.57419,2.58802,1.15979,3.94309,1.42261,3.104,3.27547,2.55706
201611,4.98188,5.73435,3.57787,4.29502,3.19283,1.6285,2.67584,1.35218,9.6564,2.35282,2.5205,7.281,2.4777,3.32867,3.03411,0.896861,2.57767,2.2474,2.87454,1.95195,2.38066,2.22927,2.33998,2.50569,4.11273,2.6461,1.23457,0.845728,2.77078,1.27737,4.86093,4.66515,3.80303,3.28136,3.97115,2.09644,1.78285,3.11838,3.20603,3.20347,5.66038,1.72445,1.82311,1.92438,2.20175,3.73119,3.27439,2.64741,0.851582,3.7071,1.15516,2.38769,2.7159,3.47663
201612,5.03734,4.15598,3.08999,3.59551,2.99262,1.80285,2.79368,1.53739,8.65231,2.06164,2.90096,6.41673,1.50134,2.78787,2.26143,1.0118,2.15661,1.58069,2.9295,1.40088,1.72097,1.9326,2.18061,2.23573,3.84615,2.86005,0.43494,1.05159,1.27855,1.18102,3.9079,3.93164,2.89463,2.97008,3.45713,1.36157,1.82237,3.48019,1.15677,3.4132,5.38109,1.5854,1.98708,2.1174,2.79813,3.46318,2.30788,2.20632,1.75879,3.14517,1.80846,2.28422,2.61708,2.85855
201613,5.4502,4.42248,2.8788,3.22581,2.80927,1.45565,2.78382,0.867152,8.34061,1.99405,2.75244,5.2356,1.43954,2.55401,1.73858,1.06496,2.06618,1.4745,2.58222,1.80668,1.38378,1.92072,1.991,1.42236,3.78362,2.94644,0.31091,1.08728,1.00711,1.36437,2.88483,3.60399,1.59898,2.6039,3.03939,1.78571,1.47588,1.88423,2.3569,2.63062,3.69909,1.29748,1.57959,1.78571,2.89898,3.2444,2.7132,2.23059,1.18734,2.81424,1.25404,2.69803,2.69445,2.21372
201614,4.41285,3.68609,2.73979,2.81646,2.11652,1.25915,2.61398,0.747238,5.93434,1.58487,2.3326,5.41344,1.45847,2.10069,1.46894,0.700935,2.19956,1.28462,2.27786,1.05263,1.29988,1.53833,1.24723,1.66983,3.1701,1.91642,0.514756,0.730337,1.14353,0.932994,2.34506,2.43361,1.35135,2.16411,2.63865,2.5,1.14891,2.37131,2.39763,2.1044,4.09626,1.2229,1.2024,1.69799,1.87846,2.83508,2.50785,2.23684,0.487211,2.43005,1.17793,2.26966,1.99845,1.75008
201615,3.62936,2.78207,2.80626,3.6989,1.92403,1.14943,2.5015,0.280199,5.66696,1.42305,2.13829,3.65935,0.742942,1.92583,1.09926,0.627854,2.01791,1.31761,1.98948,1.57875,1.30955,1.36795,1.46172,1.60559,3.39072,1.7713,0.237844,0.472953,0.877486,0.750313,3.02083,1.85741,1.53967,2.22609,2.29539,1.54394,0.880677,2.871,0.940513,2.30566,4.02787,0.875086,1.40845,1.66091,2.46828,3.25267,1.87337,1.43455,1.28535,2.49676,0.897244,2.45104,1.78037,0.720254
201616,3.92021,3.55731,2.74251,3.62797,1.62852,1.17543,2.52809,0.30656,5.81347,1.64787,1.97509,3.15113,0.779221,1.79058,1.34304,0.619718,1.33981,0.853296,2.04664,1.37094,1.7459,1.57377,1.12651,1.6936,2.58117,1.71316,0.424516,0.350058,0.553683,0.424989,2.98913,1.72226,1.09692,2.21985,2.5603,1.28535,1.05375,1.57905,0.929494,2.25348,4.11509,0.735822,0.848939,1.41355,2.15215,3.57929,1.31542,1.58983,2.22497,2.61728,0.468484,2.43372,2.03978,0.773276
201617,3.10614,2.23881,2.2786,1.98698,1.73597,0.909538,1.45228,0.570853,4.69592,1.34566,1.79856,1.93906,0.771513,1.61378,1.202,0.287026,0.941289,0.597027,1.91037,1.59865,1.37531,0.997163,1.07665,2.1065,2.45303,1.48666,0.528541,0.597015,0.530293,0.428266,1.87012,1.63247,1.0275,1.90698,2.10485,0.390117,0.838148,1.71198,0.640394,2.26749,4.24041,0.927536,1.04306,1.17495,2.48082,3.0393,1.38945,1.62272,1.53483,2.52094,0.653457,2.47711,1.64941,0.892267
201618,2.54817,2.04473,1.94952,2.99667,1.84902,0.810612,1.60955,0.336474,9.14668,1.47763,1.87671,2.07736,1.36452,1.39314,0.852087,0.367422,1.01357,0.39467,1.74936,1.18756,1.21282,0.958786,0.865389,0.953895,2.05388,1.30981,0.511836,0.347442,0.571705,0.56843,1.58913,1.37472,0.858972,1.54808,1.96114,0.631769,0.737705,2.1802,0.726453,1.82765,4.46065,0.249808,0.511945,1.11691,2.39991,2.74919,1.47087,1.03704,1.38728,2.17544,0.847817,1.32095,1.38487,0.873786
