state,threshold,threshold_label,MAE,MSE,peak_timing_error,peak_magnitude_error
Georgia,0.33,1/3,2.0369441640555133,7.07088771678022,4,3.7312981398593132
Georgia,0.5,1/2,1.3162684234279827,3.8219361308289157,4,2.3379795860880668
Georgia,0.67,2/3,1.374399964148423,3.4780548550345762,4,1.9707831353610388
Georgia,0.75,3/4,1.3743999565961345,3.4780548790215313,4,1.9707831530789637
Hawaii,0.0,0,0.58661843278113,0.48048987217142697,0,0.7081561758749055
Hawaii,0.25,1/4,0.5269158862222502,0.3974072252544364,0,0.5279426167144656
Hawaii,0.33,1/3,1.2178504202634945,1.6923913520310974,0,1.4145111789998768
Hawaii,0.5,1/2,0.8021893345589401,0.8268808705689465,0,0.9813372829336164
Hawaii,0.67,2/3,0.8021893345589401,0.8268808705689465,0,0.9813372829336164
Hawaii,0.75,3/4,0.8021893345589401,0.8268808705689465,0,0.9813372829336164
Idaho,0.0,0,1.6246215331913836,5.769298278128798,1,5.900556613720215
Idaho,0.25,1/4,1.5010308009235114,5.341182911297533,1,5.247956928518066
Idaho,0.33,1/3,1.541052306072332,5.496923767644905,1,5.256359867938407
Idaho,0.5,1/2,1.4542197579780687,3.8112378045738127,1,4.4811322256992305
Idaho,0.67,2/3,1.4542149591929383,3.811317081904529,1,4.481170662144632
Idaho,0.75,3/4,1.4542166932996594,3.8112884725762597,1,4.481156710520492
Illinois,0.0,0,0.7354029727811658,1.5247932953887449,7,2.610554369459612
Illinois,0.25,1/4,2.215218576504647,6.452451411534528,7,4.211649515085881
Illinois,0.33,1/3,1.3669006122318903,3.3481971721844226,7,3.328299180854029
Illinois,0.5,1/2,1.1390218498204738,2.7783959165652816,7,3.1201588202754027
Illinois,0.67,2/3,1.1136215542821035,1.603809581914401,6,2.1205673235552736
Illinois,0.75,3/4,1.1137038942118989,1.6039154133940976,6,2.120529361097818
Indiana,0.0,0,0.9461887532792338,2.9079343515591964,9,4.227540801736199
Indiana,0.25,1/4,1.0801692751180225,2.500133536916882,9,3.506422216417919
Indiana,0.33,1/3,1.9356365026869164,6.50262082139847,9,4.967320891594156
Indiana,0.5,1/2,1.4329000285944962,2.939541128681964,6,3.529060527695078
Indiana,0.67,2/3,2.9751145180803644,9.675867903711092,1,1.7470105984544233
Indiana,0.75,3/4,2.977710348648327,9.693776201498533,1,1.7387587507875013
Iowa,0.0,0,0.7109847189502301,1.6427865679627351,7,2.7956511822662193
Iowa,0.25,1/4,2.210381038169563,6.769031529865512,7,4.589519065597086
Iowa,0.33,1/3,2.210381038169563,6.769031529865512,7,4.589519065597086
Iowa,0.5,1/2,1.4488338054595202,3.9466175298279187,6,4.534903806173999
Iowa,0.67,2/3,2.563918674002376,6.816185539344851,5,1.810380297104337
Iowa,0.75,3/4,2.563918674002376,6.816185539344851,5,1.810380297104337
Kansas,0.0,0,1.314135817107078,6.021498837766166,9,6.2864765993672584
Kansas,0.25,1/4,1.8408138940278154,8.812112031087807,9,6.525424451248108
Kansas,0.33,1/3,1.620208479505363,7.200791044081833,9,5.960303654281127
Kansas,0.5,1/2,1.6547715644855354,6.672775375422697,7,6.0402933827755785
Kansas,0.67,2/3,2.7501953797978413,8.704228842539244,7,3.5322317259627534
Kansas,0.75,3/4,2.7501935022825243,8.704218158791546,7,3.5322332445122218
Kentucky,0.0,0,1.4857845910751895,3.0119122180637454,11,1.1088406640821882
Kentucky,0.25,1/4,1.4857845910751895,3.0119122180637454,11,1.1088406640821882
Kentucky,0.33,1/3,0.9321469638646709,2.330752388531044,6,3.5722937067376637
Kentucky,0.5,1/2,0.9321637216540012,2.3307950286624015,6,3.572303794898707
Kentucky,0.67,2/3,0.9321637232718651,2.3307950328360434,6,3.5723037961097313
Kentucky,0.75,3/4,0.9321637232718651,2.3307950328360434,6,3.5723037961097313
Louisiana,0.0,0,1.4025652817453071,3.552893824942944,1,4.691681188939132
Louisiana,0.25,1/4,2.6137171067771465,10.514796294933468,1,6.802240793916159
Louisiana,0.33,1/3,2.661056415386162,10.698777467318795,1,6.803424149431179
Louisiana,0.5,1/2,1.7373488202274872,4.008442805067264,0,4.423376580468053
Louisiana,0.67,2/3,1.7373488202480474,4.008442805041829,0,4.423376580253036
Louisiana,0.75,3/4,1.7373488202480474,4.008442805041829,0,4.423376580253036
Maine,0.0,0,1.2697767400350035,4.222488907262046,9,4.961032083206386
Maine,0.25,1/4,3.063595306268869,14.154117465279583,7,7.373797470841024
Maine,0.33,1/3,1.7008514363877492,5.082311319350016,6,6.357380346137425
Maine,0.5,1/2,2.7885458317086367,8.782459521613376,1,4.268779287189111
Maine,0.67,2/3,4.624625231240396,24.628515725483943,7,1.9098305840157428
Maine,0.75,3/4,4.624625231240396,24.628515725483943,7,1.9098305840157428
Maryland,0.0,0,1.0399325318642885,3.1320817339797182,6,4.352363891560386
Maryland,0.25,1/4,1.2027407203726053,3.628678469018715,6,4.332256511255083
Maryland,0.33,1/3,1.3786630674784068,4.696123768781904,6,4.571149997874334
Maryland,0.5,1/2,2.3284221043192184,6.400514154258224,32,4.12295920516024
Maryland,0.67,2/3,4.619342915236158,23.884139176220533,32,1.262050774187717
Maryland,0.75,3/4,4.619342915236158,23.884139176220533,32,1.262050774187717
Massachusetts,0.0,0,1.3911143473459997,7.259605989677795,6,6.534520353415168
Massachusetts,0.25,1/4,2.7703107033534486,16.05590394993761,6,8.088205066489785
Massachusetts,0.33,1/3,2.415142810647327,14.258301896254867,6,7.801243262570585
Massachusetts,0.5,1/2,2.8907598322162995,10.130319838224247,9,7.015119236368534
Massachusetts,0.67,2/3,8.44748208941356,81.2474652366259,9,0.332992916115467
Massachusetts,0.75,3/4,8.44743177232077,81.24649393469198,9,0.3329348205056988
Michigan,0.0,0,1.2098380776910171,4.547256484704677,7,7.0184161559585725
Michigan,0.25,1/4,1.6281777136034907,8.42075174029536,7,7.855276432552173
Michigan,0.33,1/3,1.6281769366389331,8.4207486481902,7,7.8552760035204825
Michigan,0.5,1/2,4.170898031926066,19.40494368875535,2,1.6187593113730046
Michigan,0.67,2/3,4.170845716137266,19.40444293026746,2,1.6188406631489105
Michigan,0.75,3/4,4.253981324484046,19.526485572684603,1,1.4812136209442777
Minnesota,0.0,0,0.8455452818738498,2.0762737915041454,9,2.9295937341773604
Minnesota,0.25,1/4,1.6986182839255008,4.744079557865312,4,4.191483256653004
Minnesota,0.33,1/3,1.1365497204569086,3.1625517801367247,4,3.581002660745671
Minnesota,0.5,1/2,1.1365497204569086,3.1625517801367247,4,3.581002660745671
Minnesota,0.67,2/3,1.1365497204569086,3.1625517801367247,4,3.581002660745671
Minnesota,0.75,3/4,1.1365497204569086,3.1625517801367247,4,3.581002660745671
Mississippi,0.0,0,1.1174613279967593,2.334610545835137,4,2.318030809035071
Mississippi,0.25,1/4,1.1174613316505468,2.334610547760851,4,2.3180307993990823
Mississippi,0.33,1/3,2.3121392878792792,7.787302026530586,4,4.42280726128606
Mississippi,0.5,1/2,1.3303997126909397,3.964629618774488,4,3.245494527830175
Mississippi,0.67,2/3,1.3303991431732711,3.964627617245847,4,3.245494440055719
Mississippi,0.75,3/4,1.3303991431732711,3.964627617245847,4,3.245494440055719
Missouri,0.0,0,0.7149757545380814,1.0197058443045095,7,2.1189338325686604
Missouri,0.25,1/4,1.5392454727063005,3.392267870075041,7,3.6269749668996774
Missouri,0.33,1/3,1.5004098781171937,3.2416922736608473,6,3.656937245405407
Missouri,0.5,1/2,1.5003586806447737,3.241540607633367,6,3.656923921542407
Missouri,0.67,2/3,1.3468976897252478,1.972857560088649,1,2.443853085410932
Missouri,0.75,3/4,1.3468976897252478,1.972857560088649,1,2.443853085410932
Montana,0.0,0,0.5838188659332896,0.5593927278517262,7,0.10798347006384867
Montana,0.25,1/4,0.4971670227138454,0.5283911062860438,7,0.45069529388997553
Montana,0.33,1/3,1.778412775915142,3.586971884198703,7,1.9134291410854114
Montana,0.5,1/2,1.7784118362743015,3.5869685048821567,7,1.913428707374451
Montana,0.67,2/3,1.7784109966427224,3.5869654854983266,7,1.9134283168002124
Montana,0.75,3/4,1.7784109896519762,3.586965460354977,7,1.9134283137507513
Nebraska,0.0,0,1.1985325723975273,4.950721248484716,8,5.008548465072368
Nebraska,0.25,1/4,1.7373908219534546,8.390825113283146,8,5.795813449444495
Nebraska,0.33,1/3,2.39959557059309,11.303006623654138,7,6.385208730074581
Nebraska,0.5,1/2,2.39959557059309,11.303006623654138,7,6.385208730074581
Nebraska,0.67,2/3,2.1910942742095423,6.072806924602725,6,4.0664373790314885
Nebraska,0.75,3/4,2.1910942742095423,6.072806924602725,6,4.0664373790314885
Nevada,0.0,0,0.8459940213606263,1.139725868401217,1,2.6979802020482806
Nevada,0.25,1/4,1.0242220468181575,1.764767257092385,0,3.3558431880719355
Nevada,0.33,1/3,0.9715255038793266,1.565159306350501,0,3.106741569867883
Nevada,0.5,1/2,0.9976947457379737,1.5362999995177813,0,2.8998385704801564
Nevada,0.67,2/3,0.9821666793913405,1.4453301675073322,1,2.724918394905889
Nevada,0.75,3/4,0.9074390658232784,1.1701813660495854,0,2.2277583064180524
New Hampshire,0.0,0,1.4638836204095769,6.791697534714087,6,8.078198569941165
New Hampshire,0.25,1/4,1.9564671545821226,9.856673042455363,6,8.161340687707591
New Hampshire,0.33,1/3,1.956467164187878,9.856673017815105,6,8.161340685545104
New Hampshire,0.5,1/2,1.7270023144892201,6.908263854364002,3,6.763571852304311
New Hampshire,0.67,2/3,1.9824173342156168,5.126191981677985,2,4.9092696198001855
New Hampshire,0.75,3/4,1.9824173342156168,5.126191981677985,2,4.9092696198001855
New Jersey,0.0,0,1.226730331239008,4.661078139275282,5,3.5283399064848906
New Jersey,0.25,1/4,1.47025018975825,4.562820737332111,5,2.9216307415283467
New Jersey,0.33,1/3,2.000823717726921,8.8377466957055,5,4.46421388699636
New Jersey,0.5,1/2,1.5205283947874484,6.449081709902501,5,3.551822059017466
New Jersey,0.67,2/3,1.5760624368931109,5.930972026097839,5,3.2501844110531177
New Jersey,0.75,3/4,1.5760637876358818,5.930945751571607,5,3.2501749133038214
New Mexico,0.0,0,1.5479405062956375,6.328907752485612,1,4.807433119260375
New Mexico,0.25,1/4,5.024184939167611,31.437298555745993,1,8.378278317516312
New Mexico,0.33,1/3,4.485606302574171,25.87779194152015,1,7.58088737527919
New Mexico,0.5,1/2,3.7506545184066042,19.563626170542868,1,6.949749604302779
New Mexico,0.67,2/3,2.5451185215124834,7.061010967649048,0,3.4837512947510447
New Mexico,0.75,3/4,2.5451185215124834,7.061010967649048,0,3.4837512947510447
New York,0.0,0,1.2729371998802914,4.296773767686117,8,5.81729481550787
New York,0.25,1/4,1.7666065999937157,7.816681736592384,7,6.532741711079909
New York,0.33,1/3,1.709846371712305,7.3691924843177405,7,6.354041953244839
New York,0.5,1/2,2.140037241470443,5.65614399646065,7,5.94387526502061
New York,0.67,2/3,3.773420376856012,16.246399032673352,7,3.5732149145116816
New York,0.75,3/4,3.773420376856012,16.246399032673352,7,3.5732149145116816
New York City,0.0,0,1.7761880000606045,6.512937762729427,4,4.904160968377376
New York City,0.25,1/4,2.0256176562924457,11.539261626765116,4,6.33011969747938
New York City,0.33,1/3,2.146344471828599,12.367235200463822,4,6.394398344450087
New York City,0.5,1/2,2.167556838889257,9.127512449668496,4,5.418652331818899
New York City,0.67,2/3,2.533068470858965,8.835232623932269,4,4.62781691412564
New York City,0.75,3/4,5.747143808039148,38.49050893750051,9,2.3357663416255914
North Carolina,0.0,0,0.9830977923985544,2.669231379481129,6,3.0793683198120894
North Carolina,0.25,1/4,1.5546945646961448,5.328910075547267,6,4.210067466489346
North Carolina,0.33,1/3,1.9840195629319968,6.984107449201247,6,4.488140981693418
North Carolina,0.5,1/2,1.2482810904627388,4.3362479461318,6,3.549276991091901
North Carolina,0.67,2/3,3.52551956231922,13.929966649225943,0,1.8191733872496743
North Carolina,0.75,3/4,3.525526923728693,13.930027521952137,0,1.819164393769821
North Dakota,0.0,0,2.0012399047359763,5.260183008024902,5,2.8720606497473478
North Dakota,0.25,1/4,2.0012399047359763,5.260183008024902,5,2.8720606497473478
North Dakota,0.33,1/3,2.0012399047359763,5.260183008024902,5,2.8720606497473478
North Dakota,0.5,1/2,3.11417659190833,10.068779088907869,4,2.6415591323822873
North Dakota,0.67,2/3,3.11417659190833,10.068779088907869,4,2.6415591323822873
North Dakota,0.75,3/4,3.11417659190833,10.068779088907869,4,2.6415591323822873
Ohio,0.0,0,1.578012664972316,7.300815162178812,7,7.761434899884934
Ohio,0.25,1/4,2.962819328962863,17.636065490377767,8,9.782011087407774
Ohio,0.33,1/3,1.8010616628737404,11.51171166329659,7,8.730082838786524
Ohio,0.5,1/2,3.66027833363004,14.87161162001091,1,6.704587007565841
Ohio,0.67,2/3,7.240265837041835,58.04123793605695,2,2.214797494893295
Ohio,0.75,3/4,9.480991826120244,97.63651054317158,2,0.0763591305581155
Oklahoma,0.0,0,1.038603571110024,1.8074463217406307,8,2.3570159259869436
Oklahoma,0.25,1/4,2.157386880348934,6.003078307501227,4,4.95696676883559
Oklahoma,0.33,1/3,2.157386880348934,6.003078307501227,4,4.95696676883559
Oklahoma,0.5,1/2,2.157386880348934,6.003078307501227,4,4.95696676883559
Oklahoma,0.67,2/3,1.0279488574395637,1.6150287353916561,1,2.525133301145269
