state,missing_rate,MAE,MSE
Iowa,0.6,0.7590511833070669,1.6827554468185066
Kansas,0.0,1.3141491173248683,6.021558054115841
Kansas,0.0,1.3141491173248683,6.021558054115841
Kansas,0.2,1.2725547586374097,5.737683005161522
Kansas,0.2,1.3338357020477873,6.119237820655498
Kansas,0.4,1.290317121081307,5.906418775933196
Kansas,0.4,1.3971130783725663,6.348957889188726
Kansas,0.6,1.4219184495243764,6.567561385715946
Kansas,0.6,1.2999642630259045,6.108414205322808
Kentucky,0.0,1.485790346557356,3.0119307623154974
Kentucky,0.0,1.485790346557356,3.0119307623154974
Kentucky,0.2,1.4503786236339409,2.9145516204897084
Kentucky,0.2,0.8895987480595658,1.879028992086113
Kentucky,0.4,1.5128753060968503,3.1154294929987096
Kentucky,0.4,1.3975358497957977,2.7464251474141066
Kentucky,0.6,0.9346194175537289,1.7543220033164637
Kentucky,0.6,0.9899555998607477,2.120597754010365
Louisiana,0.0,1.4025754116366613,3.552996820461947
Louisiana,0.0,1.4025754116366613,3.552996820461947
Louisiana,0.2,1.4896105427608965,5.299621295144661
Louisiana,0.2,1.4266632232066119,4.832841486110657
Louisiana,0.4,1.4583248636449742,4.221548385047181
Louisiana,0.4,1.7556472366882083,7.6642315988457765
Louisiana,0.6,1.6066037357494705,6.474178167649495
Louisiana,0.6,1.8795813118740463,9.123635036018264
Maine,0.0,1.269777716752801,4.2224861541605785
Maine,0.0,1.269777716752801,4.2224861541605785
Maine,0.2,1.2133024500198442,4.446711121392748
Maine,0.2,1.239848258027821,4.302411617198065
Maine,0.4,1.2840045033046523,4.160864059404967
Maine,0.4,1.2229613215028832,4.338666431581592
Maine,0.6,1.1925733943319266,4.668833012723342
Maine,0.6,1.182886688620982,4.316105335253391
Maryland,0.0,1.0399328625888626,3.132062015367815
Maryland,0.0,1.0399328625888626,3.132062015367815
Maryland,0.2,1.0529559960437622,3.083779055701293
Maryland,0.2,1.0525861408510713,3.292506239911937
Maryland,0.4,1.035352289153208,3.1228486557962145
Maryland,0.4,1.0292319524387679,3.110164487676123
Maryland,0.6,1.055183294347704,3.3307394882763957
Maryland,0.6,1.0776574179014655,3.5331596382701114
Massachusetts,0.0,1.3911544837447691,7.2602149492302885
Massachusetts,0.0,1.3911544837447691,7.2602149492302885
Massachusetts,0.2,1.340975687549324,7.188906744796575
Massachusetts,0.2,1.395874027752194,7.189083751070501
Massachusetts,0.4,1.347964284558197,7.157950863673648
Massachusetts,0.4,1.3830385757438515,7.714508847092849
Massachusetts,0.6,1.3951127547045934,7.024285161479196
Massachusetts,0.6,1.3449235736058036,7.424357953786149
Michigan,0.0,1.209825352027252,4.547142207509768
Michigan,0.0,1.209825352027252,4.547142207509768
Michigan,0.2,1.247851206787152,5.611665212552814
Michigan,0.2,1.160351034220763,4.2262282845527475
Michigan,0.4,1.2477501865495202,5.795085199612683
Michigan,0.4,1.2069501140758743,5.96322490352965
Michigan,0.6,1.2298245557453629,5.895234615180216
Michigan,0.6,1.1826249584572646,5.847900465713181
Minnesota,0.0,0.8455321906300556,2.076235541689616
Minnesota,0.0,0.8455321906300556,2.076235541689616
Minnesota,0.2,0.8462421735369423,2.076317712937508
Minnesota,0.2,0.8681486466140645,2.1306482725135614
Minnesota,0.4,0.8588060749385976,2.0958696038933122
Minnesota,0.4,0.8651486452521733,2.082673315748463
Minnesota,0.6,0.9374089890980845,2.288963813404955
Minnesota,0.6,0.7761155869038728,1.960011352167731
Mississippi,0.0,1.1174634284059037,2.3346125373325415
Mississippi,0.0,1.1174634284059037,2.3346125373325415
Mississippi,0.2,1.2429162676060188,2.4736740332235523
Mississippi,0.2,1.130614431721629,2.3549766664007237
Mississippi,0.4,1.0286400398409585,2.486208156272992
Mississippi,0.4,1.1310999842188987,2.4169582441186286
Mississippi,0.6,1.4053956466726427,2.7516462194424043
Mississippi,0.6,1.1250681160724787,2.301654641678453
Missouri,0.0,0.7149371082092281,1.0196820116853675
Missouri,0.0,0.7149371082092281,1.0196820116853675
Missouri,0.2,0.596019886371827,0.9638017001113731
Missouri,0.2,0.6930968175242018,1.0122550445260938
Missouri,0.4,0.6204013223717583,1.129696745587985
Missouri,0.4,0.564268244459151,1.0060209570875298
Missouri,0.6,0.5979387304969842,1.0740552645217825
Missouri,0.6,0.747896770324144,1.3050086094931699
Montana,0.0,0.583819168343478,0.5593930422954844
Montana,0.0,0.583819168343478,0.5593930422954844
Montana,0.2,0.5896661747802728,0.5634477477196581
Montana,0.2,0.5800717493077256,0.547787309828547
Montana,0.4,0.5873955293280445,0.5753072696523157
Montana,0.4,0.45014585121383305,0.45744334913675416
Montana,0.6,0.4598315205369386,0.4216738474294914
Montana,0.6,0.5362661926311111,0.5051187335861576
Nebraska,0.0,1.198532729423042,4.950719095845469
Nebraska,0.0,1.198532729423042,4.950719095845469
Nebraska,0.2,1.2000460125645598,4.976092205658198
Nebraska,0.2,1.184174365464274,4.970528482773454
Nebraska,0.4,1.2350370076904142,4.572168910388478
Nebraska,0.4,1.2505178149052922,5.036485490196275
Nebraska,0.6,1.311825160785903,4.4540649007787465
Nebraska,0.6,1.2038470254197762,4.780165501029729
Nevada,0.0,0.8228082890826685,1.1062383076884608
Nevada,0.0,0.8228082890826685,1.1062383076884608
Nevada,0.2,0.9329769102606742,1.34818575690006
Nevada,0.2,0.9213846821138093,1.25189054715281
Nevada,0.4,0.9793863795791309,1.2773639359335078
Nevada,0.4,0.7742206303506399,0.9842211732561353
Nevada,0.6,0.763881672834899,0.9541359814964344
Nevada,0.6,0.8078425896859185,1.1536693743496786
New Hampshire,0.0,1.4638835480086787,6.7916987057165175
New Hampshire,0.0,1.4638835480086787,6.7916987057165175
New Hampshire,0.2,1.4061639875375085,7.1405585455680125
New Hampshire,0.2,1.4292496958104004,6.522795156603927
New Hampshire,0.4,1.37695015807372,7.306622135004263
New Hampshire,0.4,1.377782104281002,7.051010613561137
New Hampshire,0.6,1.3892198462120091,7.228401112661142
New Hampshire,0.6,1.394741703892519,7.415865348935788
New Jersey,0.0,1.2267307834799854,4.661091567903599
New Jersey,0.0,1.2267307834799854,4.661091567903599
New Jersey,0.2,1.24224112930314,4.617899170993217
New Jersey,0.2,1.230760734811341,4.251805049709003
New Jersey,0.4,1.2138768864636227,4.416236919139625
New Jersey,0.4,1.2396740684937395,4.150094917096033
New Jersey,0.6,1.256013195856685,4.260488249655844
New Jersey,0.6,1.2476393098147054,4.4515500549366465
New Mexico,0.0,1.547939044834943,6.3288972654072415
New Mexico,0.0,1.547939044834943,6.3288972654072415
New Mexico,0.2,1.565173951630015,6.392942396794153
New Mexico,0.2,1.6039881807191532,6.644512252648647
New Mexico,0.4,1.72554337916158,7.128682742097396
New Mexico,0.4,1.650562417601994,5.262983091822595
New Mexico,0.6,1.5290976918949644,6.081709874039488
New Mexico,0.6,1.7333636472023268,7.394246232564726
New York,0.0,1.2729366723299091,4.296778497193953
