,train,test,fitted,forecast,ci_lower,ci_upper
2025-05-11,,2.32243,,2.203161509292656,-5.0090656833064156,9.415388701891727
2025-05-18,,2.19544,,2.151893580406582,-5.157252032473174,9.46103919328634
2025-05-25,,2.13945,,2.0631593934711927,-5.3416208482248315,9.467939635167218
2025-06-01,,2.16854,,2.1737574233800703,-5.325435182573031,9.672950029333172
2025-06-08,,1.78437,,1.7183498896154252,-5.874090965016704,9.310790744247553
2025-06-15,,1.38258,,1.4918944117792665,-6.192664388452544,9.176453212011078
2025-06-22,,1.28638,,1.363574333843057,-6.4120049549112075,9.139153622597322
2025-06-29,,1.14785,,1.252742861936416,-6.612803379256802,9.118289103129634
2025-07-06,,1.01105,,1.2407433343047056,-6.713756229473573,9.195242898082984
2025-07-13,,1.10073,,1.3093848690075085,-6.733084141145125,9.351853879160142
2025-07-20,,1.09556,,1.3712952006892885,-6.758189099793895,9.500779501172472
2025-07-27,,1.10309,,1.5098803794420024,-6.705697871392227,9.725458630276231
2025-08-03,,1.13156,,1.5598187551563318,-6.740961767767459,9.860599278080123
2025-08-10,,1.45597,,2.1782905058127575,-6.206826310393289,10.563407322018804
2025-08-17,,2.13498,,3.1693080507637776,-5.299304791583458,11.637920893111014
2025-08-24,,2.7622,,3.479014393248768,-5.0722794948109104,12.030308281308447
2025-08-31,,2.93126,,3.2821117123505283,-5.364115932074047,11.928339356775105
2025-09-07,,2.60603,,2.9478363359538,-5.796705568449619,11.69237824035722
2025-09-14,,2.22128,,2.954877588270014,-5.887045971445998,11.796801147986026
2025-09-21,,2.09122,,3.2759924133216667,-5.6594379663031,12.211422792946435
